DATA_ID,PRED_ID,PREY_SOURCE_NAME,PREY_DATABASE_NAME,BASIS_OF_PREY_ID,PHYSIOLOG_STATE,SED_ORIGIN,PREY_PARTS,PREY_LIFE_HIST_STAGE,COND_INDEX,PREY_SEX,PREY_SEX_RATIO,PREY_LEN_TYPE,PREY_MIN_LEN,PREY_MAX_LEN,PREY_MN_LEN,PREY_MAX_WIDTH,PREY_MIN_WIDTH,PREY_MN_WIDTH,BIOMASS,BIOMASS_QUALIFIER,PCT_BIOMASS,PCT_BIOMASS_QUALIFIER,N_CONS,N_CONS_QUALIFIER,PCT_N_CONS,PCT_N_CONS_QUALIFIER,VOL_CONS,VOL_CONS_QUALIFIER,PCT_VOL_CONS,PCT_VOL_CONS_QUALIFIER,FREQ_OCC,FREQ_OCC_QUALIFIER,PCT_FREQ_OCC,PCT_FREQ_OCC_QUALIFIER,IRI,PCT_IRI,IRIa,IIR,E,PREY_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_61B,Ssar.1,Mullet,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Ssar.1,Menhaden,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Ssar.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Ssar.1,Anchovy,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Tatl.1,Mullet,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Tatl.1,Menhaden,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Tatl.1,Anchovy,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Tatl.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Rcan.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Rcan.1,Crabs,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Rcan.1,Shrimp,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Rcan.1,Squid,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Kalb.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Kalb.1,Squid,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Mnig.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Mullet,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Menhaden,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Anchovy,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Flying fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Pinfish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Shad,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Catfish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Sbar.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Matl.1,Mullet,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Matl.1,Pinfish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Matl.1,Shad,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Matl.1,Catfish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Matl.1,Small crustaceans,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Matl.1,Crabs,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Cneb.1,Pinfish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Cneb.1,Mullet,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Cneb.1,Shad,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Cneb.1,Catfish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Cneb.1,Small crustaceans,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Cneb.1,Shrimp,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Cneb.1,Squid,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Apro.1,Crabs,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Apro.1,Shellfish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Apro.1,Barnacles,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Ipla.1,Mullet,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Ipla.1,Menhaden,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Ipla.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Ipla.1,Shrimp,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Chip.1,Mullet,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Chip.1,Flying fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
ACT_61B,Chip.1,Small fish,,Not indicated ,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/15/17,Michelle Abascal,10/07/17,James Simons,,
